terms,TF,term_no_docs,IDF,Stemmed-words\afan_oromo__stemmed__.txt,weight___Stemmed-words\afan_oromo__stemmed__.txt,Stemmed-words\world_cup__stemmed__.txt,weight___Stemmed-words\world_cup__stemmed__.txt,Stemmed-words\Eclipse_Foundation__stemmed__.txt,weight___Stemmed-words\Eclipse_Foundation__stemmed__.txt,Stemmed-words\computerANDphone__stemmed__.txt,weight___Stemmed-words\computerANDphone__stemmed__.txt,Stemmed-words\computerANDphone__stemmed__.txt,weight___Stemmed-words\computerANDphone__stemmed__.txt,Stemmed-words\About_Ethiopia__sample_1__stemmed__.txt,weight___Stemmed-words\About_Ethiopia__sample_1__stemmed__.txt
ajcses[1][01][2017]001-008,7,1,1.6094379124341003,7,11.266065387038703,0,0.0,0,0.0,0,0.0,0,0.0,0,0
“babes-bolyai”,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
argaw,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(1996),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
design,11,2,0.9162907318741551,2,1.8325814637483102,0,0.0,9,8.246616586867397,0,0.0,0,0.0,0,0
novel,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(figur,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
10:,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
26.masudul,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
“mooneeraa,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
user’,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
difficulti,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
easi,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
master’,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
parenthesi,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
plai,5,3,0.5108256237659907,2,1.0216512475319814,2,1.0216512475319814,0,0.0,0,0.0,0,0.0,1,0.5108256237659907
collect,4,3,0.5108256237659907,1,0.5108256237659907,0,0.0,2,1.0216512475319814,0,0.0,0,0.0,1,0.5108256237659907
agreement,11,2,0.9162907318741551,2,1.8325814637483102,0,0.0,9,8.246616586867397,0,0.0,0,0.0,0,0
disadvantag,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
rule,7,3,0.5108256237659907,1,0.5108256237659907,2,1.0216512475319814,0,0.0,0,0.0,0,0.0,4,2.043302495063963
desir,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
“bahe”,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
vari,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
applic,46,4,0.22314355131420976,7,1.5620048591994684,0,0.0,31,6.917450090740503,4,0.8925742052568391,4,0.8925742052568391,0,0
20.roberto,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
lastli,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
sun,3,2,0.9162907318741551,2,1.8325814637483102,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
familiar,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
addition,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
23rd,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
suitab,4,2,0.9162907318741551,2,1.8325814637483102,0,0.0,2,1.8325814637483102,0,0.0,0,0.0,0,0
correctli,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
edg,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
hand,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
insert,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
19.gudisa,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
addi,7,2,0.9162907318741551,1,0.9162907318741551,0,0.0,0,0.0,0,0.0,0,0.0,6,5.497744391244931
label,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
recal,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
overcom,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
“mooneeraan,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
i.,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
peoples),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
explor,3,3,0.5108256237659907,1,0.5108256237659907,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
figure),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
trigram),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
speed,7,3,0.5108256237659907,5,2.5541281188299534,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
offici,8,2,0.9162907318741551,5,4.5814536593707755,0,0.0,0,0.0,0,0.0,0,0.0,3,2.7488721956224653
simul,3,3,0.5108256237659907,1,0.5108256237659907,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
york,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
classification’,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
keystrok,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
load,4,1,1.6094379124341003,4,6.437751649736401,0,0.0,0,0.0,0,0.0,0,0.0,0,0
main,4,1,1.6094379124341003,4,6.437751649736401,0,0.0,0,0.0,0,0.0,0,0.0,0,0
experi,4,3,0.5108256237659907,2,1.0216512475319814,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
186-191,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
fazli,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
tv,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
manag,12,2,0.9162907318741551,1,0.9162907318741551,0,0.0,11,10.079198050615705,0,0.0,0,0.0,0,0
abil,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
african,5,2,0.9162907318741551,3,2.7488721956224653,0,0.0,0,0.0,0,0.0,0,0.0,2,1.8325814637483102
result,12,3,0.5108256237659907,4,2.043302495063963,1,0.5108256237659907,7,3.5757793663619353,0,0.0,0,0.0,0,0
idea,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
87-118,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
offthe-shelf,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(2016),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
potenti,4,3,0.5108256237659907,2,1.0216512475319814,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
model,9,1,1.6094379124341003,9,14.484941211906902,0,0.0,0,0.0,0,0.0,0,0.0,0,0
oromiyaa,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
tilahun,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
displai,16,2,0.9162907318741551,3,2.7488721956224653,0,0.0,13,11.911779514364017,0,0.0,0,0.0,0,0
measur,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
extra,5,2,0.9162907318741551,2,1.8325814637483102,3,2.7488721956224653,0,0.0,0,0.0,0,0.0,0,0
(svo),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
origin,46,2,0.9162907318741551,2,1.8325814637483102,0,0.0,44,40.31679220246282,0,0.0,0,0.0,0,0
presen,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
easier,6,2,0.9162907318741551,1,0.9162907318741551,0,0.0,5,4.5814536593707755,0,0.0,0,0.0,0,0
16.manari,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
corpus-bas,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
crosbi,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
proceed,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
robust,4,1,1.6094379124341003,4,6.437751649736401,0,0.0,0,0.0,0,0.0,0,0.0,0,0
gener,49,3,0.5108256237659907,5,2.5541281188299534,0,0.0,43,21.9655018219376,0,0.0,0,0.0,1,0.5108256237659907
girma,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
occurrence),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
relat,3,2,0.9162907318741551,1,0.9162907318741551,0,0.0,2,1.8325814637483102,0,0.0,0,0.0,0,0
springer,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
workineh.tesema@ju.edu.et,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
simpl,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
platform,7,3,0.5108256237659907,1,0.5108256237659907,0,0.0,0,0.0,3,1.5324768712979722,3,1.5324768712979722,0,0
truemper,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
intern,6,4,0.22314355131420976,3,0.6694306539426294,1,0.22314355131420976,1,0.22314355131420976,0,0.0,0,0.0,1,0.22314355131420976
bangla,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
ba,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
gene,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
‘p’,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
whitespac,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
suppor,3,2,0.9162907318741551,2,1.8325814637483102,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9162907318741551
studio,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
button,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
multi,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
address,7,4,0.22314355131420976,2,0.44628710262841953,0,0.0,3,0.6694306539426294,1,0.22314355131420976,1,0.22314355131420976,0,0
symbol,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(latin-bas,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
challen,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
multip,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
descript,7,2,0.9162907318741551,1,0.9162907318741551,0,0.0,6,5.497744391244931,0,0.0,0,0.0,0,0
possess,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
pp.597-628,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
small,5,3,0.5108256237659907,2,1.0216512475319814,0,0.0,2,1.0216512475319814,0,0.0,0,0.0,1,0.5108256237659907
censu,3,2,0.9162907318741551,2,1.8325814637483102,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9162907318741551
straightforward,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
inser,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(2015,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
plugin,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
interchang,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,1,0.9162907318741551,0,0.0,0,0.0,0,0
(ia),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
sentences),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
bigram,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
keyboard,8,1,1.6094379124341003,8,12.875503299472802,0,0.0,0,0.0,0,0.0,0,0.0,0,0
practic,6,5,0.0,1,0.0,1,0.0,2,0.0,1,0.0,1,0.0,0,0
hand-in-hand,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
gram),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
[8],1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
medawolabu,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
exclam,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
famili,6,2,0.9162907318741551,5,4.5814536593707755,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9162907318741551
belong,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
empiric,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
upper,2,2,0.9162907318741551,1,0.9162907318741551,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9162907318741551
approach,15,1,1.6094379124341003,15,24.141568686511505,0,0.0,0,0.0,0,0.0,0,0.0,0,0
predic,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
(training),1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
sov,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
[14-,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
elderli,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
scienc,6,3,0.5108256237659907,4,2.043302495063963,0,0.0,0,0.0,1,0.5108256237659907,1,0.5108256237659907,0,0
‘ch’,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
“ja’a”,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
al,7,1,1.6094379124341003,7,11.266065387038703,0,0.0,0,0.0,0,0.0,0,0.0,0,0
focus,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
seria,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
hierarchic,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
[6],2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
instanc,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
11.wakshum,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
prasad,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
syntax,6,2,0.9162907318741551,1,0.9162907318741551,0,0.0,5,4.5814536593707755,0,0.0,0,0.0,0,0
oper,10,4,0.22314355131420976,1,0.22314355131420976,0,0.0,7,1.5620048591994684,1,0.22314355131420976,1,0.22314355131420976,0,0
translat,9,2,0.9162907318741551,1,0.9162907318741551,0,0.0,8,7.330325854993241,0,0.0,0,0.0,0,0
string,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
occurr,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
e-mail,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
mobil,17,3,0.5108256237659907,3,1.5324768712979722,0,0.0,0,0.0,7,3.5757793663619353,7,3.5757793663619353,0,0
evalu,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
propos,5,1,1.6094379124341003,5,8.047189562170502,0,0.0,0,0.0,0,0.0,0,0.0,0,0
quadripleg,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
___________________________________________________________,7,1,1.6094379124341003,7,11.266065387038703,0,0.0,0,0.0,0,0.0,0,0.0,0,0
linguist,4,1,1.6094379124341003,4,6.437751649736401,0,0.0,0,0.0,0,0.0,0,0.0,0,0
enter,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
qube,5,1,1.6094379124341003,5,8.047189562170502,0,0.0,0,0.0,0,0.0,0,0.0,0,0
29.felici,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
germani,4,3,0.5108256237659907,1,0.5108256237659907,2,1.0216512475319814,1,0.5108256237659907,0,0.0,0,0.0,0,0
bound,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
24.artstein,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
182-188,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
*correspon,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
learn,2,1,1.6094379124341003,2,3.2188758248682006,0,0.0,0,0.0,0,0.0,0,0.0,0,0
architectur,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
chanc,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
overview,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
afro-asiat,3,1,1.6094379124341003,3,4.828313737302301,0,0.0,0,0.0,0,0.0,0,0.0,0,0
inform,8,2,0.9162907318741551,2,1.8325814637483102,0,0.0,6,5.497744391244931,0,0.0,0,0.0,0,0
latin,4,1,1.6094379124341003,4,6.437751649736401,0,0.0,0,0.0,0,0.0,0,0.0,0,0
34.tesema,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
base,38,3,0.5108256237659907,15,7.662384356489861,0,0.0,22,11.238163722851796,0,0.0,0,0.0,1,0.5108256237659907
‘tes,1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
[11],1,1,1.6094379124341003,1,1.6094379124341003,0,0.0,0,0.0,0,0.0,0,0.0,0,0
amhar,5,2,0.9162907318741551,2,1.8325814637483102,0,0.0,0,0.0,0,0.0,0,0.0,3,2.7488721956224653
tesema,7,1,1.6094379124341003,7,11.266065387038703,0,0.0,0,0.0,0,0.0,0,0.0,0,0
